ID,Name,Author,time spent,logged at
13772,KLMF-82,mnm54,2h,2020-01-29T01:41:00.000+0000
13772,KLMF-82,mnm54,1d,2020-02-06T23:00:00.000+0000
13772,KLMF-82,mnm54,1h,2020-02-14T01:44:00.000+0000
13772,KLMF-82,mnm54,1h,2020-02-29T20:58:00.000+0000
13772,KLMF-82,mnm54,1h 30m,2020-03-11T00:18:00.000+0000
13771,KLMF-81,mnm54,1d,2020-01-08T22:01:00.000+0000
13771,KLMF-81,mnm54,1d,2020-01-13T17:54:00.000+0000
13771,KLMF-81,alb433,1d,2020-01-16T16:56:00.000+0000
13771,KLMF-81,mnm54,1h 30m,2020-01-15T17:01:00.000+0000
13771,KLMF-81,mnm54,1h,2020-02-29T20:59:00.000+0000
13771,KLMF-81,mnm54,1h 30m,2020-03-09T15:41:00.000+0000
13760,KLMF-70,bdj25,4d,2020-01-17T18:08:00.000+0000
13759,KLMF-69,alb433,2h 30m,2020-01-09T00:47:00.000+0000
13759,KLMF-69,alb433,1d,2020-01-10T02:00:00.000+0000
13759,KLMF-69,bz297,1d 1h,2020-01-10T22:17:00.000+0000
13759,KLMF-69,bz297,1d 1h,2020-01-11T22:17:00.000+0000
13759,KLMF-69,eay9,1d,2020-01-13T20:33:00.000+0000
13759,KLMF-69,eay9,1h 30m,2020-01-15T20:33:00.000+0000
13759,KLMF-69,kah289,2h,2020-02-12T19:32:00.000+0000
13759,KLMF-69,kah289,2h,2020-02-16T19:09:00.000+0000
13759,KLMF-69,kah289,2d 1h,2020-02-21T01:49:00.000+0000
13759,KLMF-69,kah289,1d,2020-03-04T21:52:00.000+0000
13759,KLMF-69,kah289,1d,2020-03-08T18:21:00.000+0000
13758,KLMF-68,bz297,1d 1h,2020-01-08T22:15:00.000+0000
13758,KLMF-68,bdj25,1d,2020-01-09T22:48:00.000+0000
13758,KLMF-68,eay9,18m,2020-01-13T20:18:00.000+0000
13758,KLMF-68,eay9,1h 30m,2020-01-14T20:20:00.000+0000
13758,KLMF-68,kah289,2d,2020-01-22T23:00:00.000+0000
13758,KLMF-68,kah289,1d,2020-01-29T20:38:00.000+0000
13758,KLMF-68,kah289,1d 2h,2020-01-31T20:34:00.000+0000
13758,KLMF-68,kah289,1d,2020-02-04T22:54:00.000+0000
13758,KLMF-68,kah289,1h,2020-02-12T19:31:00.000+0000
13756,KLMF-67,jb974,2h,2020-01-06T22:26:00.000+0000
13756,KLMF-67,jb974,1d 1h 30m,2020-01-07T22:26:00.000+0000
13756,KLMF-67,csc254,2h,2020-01-10T01:41:00.000+0000
13755,KLMF-66,csc254,2d,2020-01-07T21:04:00.000+0000
13755,KLMF-66,jb974,30m,2020-01-13T16:59:00.000+0000
13755,KLMF-66,csc254,1h,2020-01-13T21:53:00.000+0000
13755,KLMF-66,jb974,2h,2020-02-04T03:13:00.000+0000
13755,KLMF-66,jb974,30m,2020-02-27T21:06:00.000+0000
13754,KLMF-65,csc254,1d,2020-01-14T02:01:00.000+0000
13754,KLMF-65,csc254,1d,2020-01-16T13:35:00.000+0000
13753,KLMF-64,csc254,30m,2020-01-07T21:05:00.000+0000
13753,KLMF-64,jb974,2h,2020-01-11T22:12:00.000+0000
13753,KLMF-64,jb974,2h 30m,2020-01-13T16:59:00.000+0000
13753,KLMF-64,jb974,1d,2020-01-16T17:01:00.000+0000
13753,KLMF-64,csc254,2h,2020-01-30T17:02:00.000+0000
13753,KLMF-64,jb974,1h,2020-02-14T01:51:00.000+0000
13753,KLMF-64,jb974,1d,2020-02-18T02:24:00.000+0000
13753,KLMF-64,jb974,2h,2020-02-18T17:42:00.000+0000
13753,KLMF-64,jb974,1h,2020-02-20T17:42:00.000+0000
13753,KLMF-64,csc254,30m,2020-02-20T22:13:00.000+0000
13753,KLMF-64,jb974,1d,2020-02-21T16:59:00.000+0000
13753,KLMF-64,jb974,2h 30m,2020-02-28T18:40:00.000+0000
13739,KLMF-50,meche_issue_lister,1d,2019-12-08T23:07:00.000+0000
13739,KLMF-50,meche_issue_lister,1d,2019-12-08T23:08:00.000+0000
13739,KLMF-50,meche_issue_lister,1d,2019-12-09T00:26:00.000+0000
13735,KLMF-46,bdj25,1h,2020-01-08T22:45:00.000+0000
13735,KLMF-46,bdj25,1h 30m,2020-01-13T22:51:00.000+0000
13735,KLMF-46,alb433,45m,2020-01-15T01:57:00.000+0000
13735,KLMF-46,mt779,30m,2020-01-15T02:07:00.000+0000
13734,KLMF-45,bdj25,1h 30m,2020-01-13T22:51:00.000+0000
13734,KLMF-45,mt779,2h,2020-01-15T02:08:00.000+0000
13734,KLMF-45,jb974,1h 30m,2020-02-07T00:58:00.000+0000
13734,KLMF-45,zmr5,2h,2020-02-13T22:48:00.000+0000
13734,KLMF-45,mt779,2h,2020-02-07T02:05:00.000+0000
13734,KLMF-45,zmr5,1d,2020-02-16T18:47:00.000+0000
13734,KLMF-45,mt779,30m,2020-02-22T17:18:00.000+0000
13734,KLMF-45,zmr5,1d 1h,2020-03-05T22:59:00.000+0000
