ID,Name,Author,time spent,logged at
11796,MECH2-85,mvb36,10m,2017-03-03T14:20:00.000+0000
11796,MECH2-85,jcw297,1h,2017-03-09T02:36:00.000+0000
11794,MECH2-83,ll543,1d,2017-01-21T02:25:00.000+0000
11794,MECH2-83,mvb36,1h 30m,2017-01-30T20:00:00.000+0000
11794,MECH2-83,mvb36,2h 30m,2017-01-30T23:00:00.000+0000
11794,MECH2-83,mvb36,10m,2017-02-24T14:20:00.000+0000
11793,MECH2-82,mvb36,1h,2017-01-28T21:00:00.000+0000
11793,MECH2-82,mvb36,20m,2017-01-30T19:40:00.000+0000
11793,MECH2-82,mvb36,15m,2017-02-17T14:00:00.000+0000
11791,MECH2-80,mvb36,1d,2017-02-04T13:00:00.000+0000
11790,MECH2-79,mvb36,1h 15m,2017-02-26T03:30:00.000+0000
11790,MECH2-79,mvb36,1h,2017-03-03T00:00:00.000+0000
11790,MECH2-79,mvb36,1d,2017-03-04T18:00:00.000+0000
11789,MECH2-78,mvb36,1d,2017-02-07T23:00:00.000+0000
11789,MECH2-78,mvb36,1d,2017-02-13T23:00:00.000+0000
11789,MECH2-78,mvb36,2h,2017-02-25T13:20:00.000+0000
11789,MECH2-78,mvb36,2h,2017-03-03T01:00:00.000+0000
11788,MECH2-77,aml326,2d,2017-01-11T02:52:00.000+0000
11788,MECH2-77,aml326,2d,2017-01-12T00:16:00.000+0000
11788,MECH2-77,aml326,1d,2017-01-12T22:25:00.000+0000
11788,MECH2-77,aml326,1h 30m,2017-01-15T00:10:00.000+0000
11788,MECH2-77,aml326,1h 30m,2017-01-17T03:48:00.000+0000
11787,MECH2-76,aml326,1d,2017-01-12T22:25:00.000+0000
11787,MECH2-76,aml326,1d 1h 30m,2017-01-13T21:56:00.000+0000
11787,MECH2-76,aml326,1h 30m,2017-01-17T03:48:00.000+0000
11787,MECH2-76,aml326,2d,2017-01-18T03:13:00.000+0000
11787,MECH2-76,aml326,4d,2017-01-19T23:19:00.000+0000
11787,MECH2-76,aml326,1d,2017-01-20T22:42:00.000+0000
11786,MECH2-75,csc254,1d 1h,2017-01-15T01:21:00.000+0000
11785,MECH2-74,csc254,2d,2017-01-12T01:22:00.000+0000
11785,MECH2-74,csc254,2h,2017-01-31T05:00:00.000+0000
11785,MECH2-74,csc254,40m,2017-03-01T02:33:00.000+0000
11785,MECH2-74,csc254,2h 30m,2017-03-15T04:18:00.000+0000
11785,MECH2-74,csc254,50m,2017-03-16T23:02:00.000+0000
11784,MECH2-73,csc254,1d 1h,2017-01-13T01:20:00.000+0000
11784,MECH2-73,csc254,1d 30m,2017-01-27T22:17:00.000+0000
11783,MECH2-72,csc254,1d 1h,2017-01-13T01:18:00.000+0000
11782,MECH2-71,csc254,1d,2017-01-24T13:48:00.000+0000
11782,MECH2-71,csc254,2h,2017-01-28T21:38:00.000+0000
11782,MECH2-71,csc254,2h 45m,2017-01-30T15:06:00.000+0000
11782,MECH2-71,aml326,1h,2017-02-03T20:26:00.000+0000
11782,MECH2-71,jlf297,1d,2017-02-05T18:36:00.000+0000
11782,MECH2-71,csc254,1h 30m,2017-02-12T17:47:00.000+0000
11782,MECH2-71,csc254,5d 2h,2017-04-10T14:49:00.000+0000
11782,MECH2-71,csc254,2h,2017-05-01T14:58:00.000+0000
11781,MECH2-70,ll543,2h 30m,2017-01-14T21:38:00.000+0000
11781,MECH2-70,ll543,3d,2017-01-14T21:40:00.000+0000
11781,MECH2-70,cep89,1d 30m,2017-01-16T23:11:00.000+0000
11781,MECH2-70,cep89,1d 1h,2017-01-24T18:34:00.000+0000
11781,MECH2-70,aml326,1d,2017-02-13T02:06:00.000+0000
11780,MECH2-69,ll543,1d,2017-01-12T03:27:00.000+0000
11780,MECH2-69,ll543,1h,2017-01-12T03:27:00.000+0000
11780,MECH2-69,ll543,1d,2017-01-14T14:49:00.000+0000
11780,MECH2-69,ll543,1h,2017-01-14T14:49:00.000+0000
11779,MECH2-68,ll543,1d 1h,2017-01-12T03:27:00.000+0000
11779,MECH2-68,ll543,1d,2017-01-14T14:49:00.000+0000
11779,MECH2-68,ll543,1h,2017-01-14T14:50:00.000+0000
11778,MECH2-67,ll543,1d,2017-01-17T03:34:00.000+0000
11778,MECH2-67,ll543,2d 30m,2017-01-18T02:48:00.000+0000
11778,MECH2-67,ll543,2d,2017-01-26T13:03:00.000+0000
11778,MECH2-67,ll543,1d,2017-01-31T05:38:00.000+0000
11778,MECH2-67,ll543,2d 1h,2017-02-12T18:47:00.000+0000
11778,MECH2-67,ll543,2d 2h,2017-02-26T18:40:00.000+0000
11778,MECH2-67,ll543,1h,2017-02-27T15:24:00.000+0000
11778,MECH2-67,ll543,1h 30m,2017-02-28T06:25:00.000+0000
11777,MECH2-66,ll543,30m,2017-01-12T03:28:00.000+0000
11777,MECH2-66,ll543,30m,2017-01-14T21:46:00.000+0000
11777,MECH2-66,ll543,2h,2017-01-20T22:28:00.000+0000
11777,MECH2-66,ll543,1d 30m,2017-01-20T22:28:00.000+0000
11777,MECH2-66,ll543,1d,2017-01-20T22:29:00.000+0000
11777,MECH2-66,ll543,2h,2017-01-20T22:29:00.000+0000
11777,MECH2-66,ll543,30m,2017-01-20T22:30:00.000+0000
11776,MECH2-65,ll543,30m,2017-01-12T03:28:00.000+0000
11776,MECH2-65,ll543,30m,2017-01-14T21:46:00.000+0000
11776,MECH2-65,ll543,3d 2h,2017-01-20T22:31:00.000+0000
11774,MECH2-63,ll543,1d 15m,2017-01-21T17:09:00.000+0000
11774,MECH2-63,ll543,2h,2017-03-20T01:18:00.000+0000
11773,MECH2-62,ll543,3d 1h,2017-02-14T22:00:00.000+0000
11773,MECH2-62,ll543,2d 30m,2017-03-04T20:49:00.000+0000
11773,MECH2-62,ll543,1d 2h 30m,2017-03-12T07:36:00.000+0000
11773,MECH2-62,ll543,1d 1h,2017-03-12T07:36:00.000+0000
11772,MECH2-61,ll543,3d 1h 30m,2017-01-12T03:28:00.000+0000
11772,MECH2-61,asb322,1d,2017-01-14T01:11:00.000+0000
11771,MECH2-60,cep89,1d 1h 15m,2016-12-06T14:57:00.000+0000
11771,MECH2-60,cep89,1h,2017-01-09T21:31:00.000+0000
11770,MECH2-59,cep89,1d 30m,2016-12-08T17:17:00.000+0000
11770,MECH2-59,cep89,1h,2017-01-09T21:31:00.000+0000
11769,MECH2-58,cep89,1d,2017-01-13T21:43:00.000+0000
11768,MECH2-57,jgf82,3m,2016-12-13T03:22:00.000+0000
11768,MECH2-57,jgf82,1d,2016-12-13T03:23:00.000+0000
11768,MECH2-57,jgf82,1d 2h,2016-12-13T21:34:00.000+0000
11767,MECH2-56,cep89,30m,2017-01-13T21:46:00.000+0000
