alb433,alb433 logged at,bdj25,bdj25 logged at,csc254,csc254 logged at,zmr5,zmr5 logged at,eay9,eay9 logged at,bz297,bz297 logged at,mb2343,mb2343 logged at,mt779,mt779 logged at,mnm54,mnm54 logged at,jb974,jb974 logged at,cep89,cep89 logged at,bpm74,bpm74 logged at,kan57,kan57 logged at
,,,,40.41666666666667,2019-01-19T14:37:00.000+0000,67.5,2019-02-17T18:06:00.000+0000,57.766666666666666,2019-03-23T18:11:00.000+0000,,,102.0,2019-03-23T16:16:00.000+0000,66.0,2019-04-06T12:00:00.000+0000,,,,,74.55000000000001,2019-03-10T18:40:00.000+0000,,,,
,,,,41.41666666666667,2019-01-19T16:39:00.000+0000,70.5,2019-02-27T14:27:00.000+0000,60.766666666666666,2019-03-23T18:12:00.000+0000,,,102.16666666666667,2019-03-23T16:17:00.000+0000,67.0,2019-04-09T22:00:00.000+0000,,,,,74.80000000000001,2019-03-10T18:40:00.000+0000,,,,
,,,,41.91666666666667,2019-01-28T14:39:00.000+0000,73.5,2019-03-22T03:07:00.000+0000,61.266666666666666,2019-03-23T18:12:00.000+0000,,,102.41666666666667,2019-03-23T16:18:00.000+0000,69.0,2019-04-09T22:00:00.000+0000,,,,,,,,,,
,,,,42.21666666666667,2019-01-28T15:02:00.000+0000,75.5,2019-03-24T03:03:00.000+0000,62.266666666666666,2019-03-27T06:12:00.000+0000,,,102.58333333333334,2019-03-23T16:18:00.000+0000,71.0,2019-04-11T19:48:00.000+0000,,,,,,,,,,
,,,,43.21666666666667,2019-01-28T17:02:00.000+0000,80.5,2019-03-24T03:16:00.000+0000,63.266666666666666,2019-03-27T06:13:00.000+0000,,,102.83333333333334,2019-03-23T16:20:00.000+0000,73.0,2019-04-13T13:00:00.000+0000,,,,,,,,,,
,,,,44.21666666666667,2019-01-30T18:20:00.000+0000,82.5,2019-03-29T01:10:00.000+0000,64.26666666666667,2019-03-27T06:15:00.000+0000,,,103.33333333333334,2019-03-25T02:37:00.000+0000,73.5,2019-04-14T03:48:00.000+0000,,,,,,,,,,
,,,,45.21666666666667,2019-02-02T17:00:00.000+0000,84.5,2019-03-29T01:11:00.000+0000,64.76666666666667,2019-04-14T04:13:00.000+0000,,,103.83333333333334,2019-03-25T02:39:00.000+0000,,,,,,,,,,,,
,,,,45.96666666666667,2019-02-02T19:45:00.000+0000,85.5,2019-04-08T14:45:00.000+0000,65.76666666666667,2019-04-14T04:14:00.000+0000,,,104.33333333333334,2019-03-30T15:45:00.000+0000,,,,,,,,,,,,
,,,,47.96666666666667,2019-02-02T21:58:00.000+0000,88.5,2019-04-11T17:11:00.000+0000,67.76666666666667,2019-04-14T04:14:00.000+0000,,,104.83333333333334,2019-03-30T15:45:00.000+0000,,,,,,,,,,,,
,,,,47.983333333333334,2019-02-04T18:21:00.000+0000,91.5,2019-04-11T21:31:00.000+0000,,,,,105.33333333333334,2019-03-30T15:46:00.000+0000,,,,,,,,,,,,
,,,,49.983333333333334,2019-02-08T20:21:00.000+0000,,,,,,,113.33333333333334,2019-04-02T17:08:00.000+0000,,,,,,,,,,,,
,,,,50.983333333333334,2019-02-09T14:52:00.000+0000,,,,,,,116.33333333333334,2019-04-02T17:10:00.000+0000,,,,,,,,,,,,
,,,,51.483333333333334,2019-02-09T20:20:00.000+0000,,,,,,,116.83333333333334,2019-04-12T20:38:00.000+0000,,,,,,,,,,,,
,,,,53.483333333333334,2019-02-11T17:05:00.000+0000,,,,,,,117.33333333333334,2019-04-14T00:20:00.000+0000,,,,,,,,,,,,
,,,,54.233333333333334,2019-02-13T16:50:00.000+0000,,,,,,,,,,,,,,,,,,,,
,,,,55.233333333333334,2019-02-15T16:51:00.000+0000,,,,,,,,,,,,,,,,,,,,
,,,,58.233333333333334,2019-02-17T02:02:00.000+0000,,,,,,,,,,,,,,,,,,,,
,,,,58.733333333333334,2019-02-19T02:01:00.000+0000,,,,,,,,,,,,,,,,,,,,
,,,,59.483333333333334,2019-02-19T02:03:00.000+0000,,,,,,,,,,,,,,,,,,,,
,,,,60.233333333333334,2019-02-19T02:03:00.000+0000,,,,,,,,,,,,,,,,,,,,
,,,,63.233333333333334,2019-02-26T03:56:00.000+0000,,,,,,,,,,,,,,,,,,,,
,,,,66.23333333333333,2019-03-01T14:12:00.000+0000,,,,,,,,,,,,,,,,,,,,
,,,,66.73333333333333,2019-03-02T00:17:00.000+0000,,,,,,,,,,,,,,,,,,,,
,,,,67.23333333333333,2019-03-02T00:17:00.000+0000,,,,,,,,,,,,,,,,,,,,
,,,,67.73333333333333,2019-03-02T00:17:00.000+0000,,,,,,,,,,,,,,,,,,,,
,,,,67.75,2019-03-03T19:20:00.000+0000,,,,,,,,,,,,,,,,,,,,
,,,,68.25,2019-03-16T15:23:00.000+0000,,,,,,,,,,,,,,,,,,,,
,,,,70.25,2019-03-22T18:26:00.000+0000,,,,,,,,,,,,,,,,,,,,
,,,,70.5,2019-04-09T19:13:00.000+0000,,,,,,,,,,,,,,,,,,,,
,,,,71.0,2019-04-10T13:37:00.000+0000,,,,,,,,,,,,,,,,,,,,
,,,,71.25,2019-04-12T13:59:00.000+0000,,,,,,,,,,,,,,,,,,,,
,,,,71.75,2019-04-13T13:36:00.000+0000,,,,,,,,,,,,,,,,,,,,
,,,,73.75,2019-04-15T17:39:00.000+0000,,,,,,,,,,,,,,,,,,,,
